지역코드,시군구,법정동,지번,단지,건축년도,층,전용면적,년,월,일,보증금,월세,좌표
11500,강서구,화곡동,925-22,아델스하임,2020,3,26.28,2022,6,22,10000,27,126.842297683612@37.5291853678795
11500,강서구,화곡동,1051-24,더에스에스타운,2020,5,23.8,2022,6,22,60,31,126.839232389508@37.5421641709552
11500,강서구,화곡동,1111-2,귀뚜라미홈시스텔,2006,11,33.72,2022,6,28,2000,35,126.851985854415@37.5545236386557
11500,강서구,가양동,1480-4,미씨엘로오피스텔,2010,6,26.52,2022,6,8,7500,16,126.8533223453@37.5629039676642
11500,강서구,가양동,1480-4,미씨엘로오피스텔,2010,6,26.52,2022,6,8,7500,15,126.8533223453@37.5629039676642
11500,강서구,가양동,1480-5,이스타빌1차,2002,13,25.84,2022,6,17,10000,10,126.853003378704@37.562604799047
11500,강서구,가양동,1480-5,이스타빌1차,2002,12,30.24,2022,6,25,12500,0,126.853003378704@37.562604799047
11500,강서구,가양동,1480-5,이스타빌1차,2002,5,25.84,2022,6,30,12000,0,126.853003378704@37.562604799047
11500,강서구,마곡동,773-3,힐스테이트에코동익,2017,5,30.69,2022,6,1,13000,38,126.829003171406@37.5598870117656
11500,강서구,마곡동,773-3,힐스테이트에코동익,2017,5,24.57,2022,6,4,13004,0,126.829003171406@37.5598870117656
11500,강서구,마곡동,739-4,마곡 헤리움1차,2015,9,24.07,2022,6,7,10000,30,126.818569096967@37.5666871272345
11500,강서구,마곡동,776-2,마곡센트럴대방디엠시티오피스텔,2017,3,24.02,2022,6,11,13890,0,126.840297793311@37.5683002897358
11500,강서구,마곡동,773-3,힐스테이트에코동익,2017,14,25.26,2022,6,12,10000,40,126.829003171406@37.5598870117656
11500,강서구,마곡동,776-4,엠코지니어스타,2015,10,23.84,2022,6,14,12000,0,126.840582292868@37.567432636651
11500,강서구,마곡동,776-2,마곡센트럴대방디엠시티오피스텔,2017,5,24.02,2022,6,27,10000,31,126.840297793311@37.5683002897358
11500,강서구,마곡동,739-2,우성르보아투,2015,13,25.29,2022,6,30,5000,31,126.81777459747@37.5671948198409
11500,강서구,공항동,45-19,대룡드림타워-Ⅱ,2005,6,25.83,2022,6,7,500,35,126.808907666244@37.5618434902662
11500,강서구,공항동,45-19,대룡드림타워-Ⅱ,2005,6,25.83,2022,6,16,1000,40,126.808907666244@37.5618434902662
11500,강서구,공항동,45-19,대룡드림타워-Ⅱ,2005,12,23.64,2022,6,17,1000,40,126.808907666244@37.5618434902662
11500,강서구,공항동,45-19,대룡드림타워-Ⅱ,2005,3,25.83,2022,6,23,1000,35,126.808907666244@37.5618434902662
11500,강서구,공항동,72-61,비엔비빌리지,2011,4,25.13,2022,6,27,10000,15,126.808447827008@37.561017025551
11500,강서구,방화동,830-3,방화샤르망1오피스텔,2003,6,24.9,2022,6,6,500,40,126.813025742326@37.5764733766294
11500,강서구,방화동,620-52,벤처오피스텔(620-52),2002,6,26.0,2022,6,7,1000,40,126.808135392642@37.5625097278816
11500,강서구,방화동,620-52,벤처오피스텔(620-52),2002,4,26.0,2022,6,8,14000,0,126.808135392642@37.5625097278816
11500,강서구,방화동,830-1,에어뷰21-2오피스텔,1999,3,26.91,2022,6,9,8000,0,126.81295147539@37.5772813416219
11500,강서구,방화동,829-5,에어뷰21-1오피스텔,1999,5,24.99,2022,6,13,500,40,126.81282165913@37.5783740078327
11500,강서구,방화동,830-1,에어뷰21-2오피스텔,1999,5,26.91,2022,6,13,500,40,126.81295147539@37.5772813416219
11500,강서구,방화동,829-5,에어뷰21-1오피스텔,1999,10,24.99,2022,6,14,500,40,126.81282165913@37.5783740078327
11500,강서구,방화동,620-52,벤처오피스텔(620-52),2002,2,26.0,2022,6,15,8400,0,126.808135392642@37.5625097278816
11500,강서구,방화동,829-5,에어뷰21-1오피스텔,1999,3,26.86,2022,6,16,8100,0,126.81282165913@37.5783740078327
11500,강서구,방화동,829-5,에어뷰21-1오피스텔,1999,11,26.91,2022,6,17,500,40,126.81282165913@37.5783740078327
11500,강서구,방화동,621-2,벤처오피스텔(621-2),2003,4,29.6,2022,6,18,4000,35,126.807752083032@37.5622848449654
11500,강서구,방화동,830-1,에어뷰21-2오피스텔,1999,3,26.91,2022,6,20,500,40,126.81295147539@37.5772813416219
11500,강서구,방화동,829-5,에어뷰21-1오피스텔,1999,9,24.99,2022,6,22,500,40,126.81282165913@37.5783740078327
11500,강서구,방화동,830-1,에어뷰21-2오피스텔,1999,6,26.22,2022,6,28,500,40,126.81295147539@37.5772813416219
11500,강서구,방화동,830-1,에어뷰21-2오피스텔,1999,7,26.91,2022,6,28,500,40,126.81295147539@37.5772813416219
11500,강서구,방화동,830-1,에어뷰21-2오피스텔,1999,3,26.91,2022,6,29,500,40,126.81295147539@37.5772813416219
